"","lon","lat","dwnld.date"
"764",-104.5,37.166698,2017-07-25
"766",-113.4267,35.5397,2017-07-25
"767",-106.353214,37.678775,2017-07-25
"769",-105.016998,37.150002,2017-07-25
"770",-107.59569,37.222252,2017-07-25
"771",-108.583,37.333302,2017-07-25
"772",-106.353214,37.678775,2017-07-25
"779",-102.98,36.92,2017-07-25
"795",-109.28,31.83,2017-07-25
"799",-112.1892,38.46,2017-07-25
"805",-105,39,2017-07-25
"819",-105.38,33.5,2017-07-25
"824",-111.3711,35.52,2017-07-25
"837",-111.3711,35.52,2017-07-25
"839",-105.37,35.98,2017-07-25
"846",-77.0306,38.8892,2017-07-25
"872",-105,35,2017-07-25
"894",-116.49,33.57,2017-07-25
"895",-108.397,39.906,2017-07-25
"903",-102.9763,37.0016,2017-07-25
"912",-112.64,38.41,2017-07-25
"914",-105.0795,39.0853,2017-07-25
"915",-106.5531,39.9565,2017-07-25
"918",-83.675,42.308333,2017-07-25
"922",-105.2174,38.4549,2017-07-25
"923",-108.44254,40.45191,2017-07-25
"936",-116.49,33.57,2017-07-25
"938",-105.178,40.7638,2017-07-25
"948",-108.0583,39.5714,2017-07-25
"956",-107.2999,37.1938,2017-07-25
"957",-106.2494,37.0564,2017-07-25
"963",-83.675,42.308333,2017-07-25
"966",-115.5848,35.5315,2017-07-25
"969",-105.3528,40.7196,2017-07-25
"971",-105.3499,37.8521,2017-07-25
"972",-108.25513,39.01214,2017-07-25
"978",-111.53,35.36,2017-07-25
"982",-108.7439,38.9374,2017-07-25
"983",-108.8422,38.2116,2017-07-25
"986",-111.53,35.36,2017-07-25
"1000",-108.86,39.51,2017-07-25
"1007",-115.328283,35.2624,2017-07-25
"1019",-105.0839,39.23,2017-07-25
"1021",-105.1814,40.7632,2017-07-25
"1022",-107.7135,38.5249,2017-07-25
"1027",-111.53,35.36,2017-07-25
"1029",-105.5525,37.6189,2017-07-25
"1030",-107.53612,37.03335,2017-07-25
"1035",-115.3723,35.2722,2017-07-25
"1040",-104.9619,39.73193,2017-07-25
"1043",-108.9848,37.5523,2017-07-25
"1048",-115.5848,35.5314999991073,2017-07-25
"1050",-102.9509,37.0392,2017-07-25
"1054",-108.86,39.51,2017-07-25
"1063",-112.64,38.41,2017-07-25
"1064",-103.0358,37.1129,2017-07-25
"1065",-107.7379,38.8008,2017-07-25
"1066",-108.84015,40.46641,2017-07-25
"1074",-115.298233,35.255267,2017-07-25
"1076",-108.50453,37.47493,2017-07-25
"1086",-111.53,35.36,2017-07-25
"1087",-105.4954,38.4499,2017-07-25
"1094",-112.61,37.3,2017-07-25
"1095",-112.64,38.41,2017-07-25
"1096",-112.64,38.41,2017-07-25
"1097",-102.6713,37.0225,2017-07-25
"1098",-106.2294,38.7183,2017-07-25
"1099",-108.90396,38.7489,2017-07-25
